EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE,CASE STATUS
IBM INDIA PRIVATE LIMITED,,62067,"CHARLOTTE, NC",1/14/13,5/9/17,WITHDRAWN
IBM INDIA PRIVATE LIMITED,,70304,"MIDDLETOWN, NJ",10/28/15,5/9/17,WITHDRAWN
IBM INDIA PRIVATE LIMITED,(FICO) LEAD - SAP FINANCE AND CONTROLLING,77100,"ALLENTOWN, PA",8/21/14,1/1/15,CERTIFIED
IBM INDIA PRIVATE LIMITED,. NET SCRUM LEAD,71319,"BURLINGTON, NC",12/8/16,12/16/16,CERTIFIED
IBM INDIA PRIVATE LIMITED,. NET SCRUM LEAD,71319,"BURLINGTON, NC",12/9/16,12/9/16,CERTIFIED
IBM INDIA PRIVATE LIMITED,.NET SOLUTIONS CONSULTANT,68744,"ALLENTOWN, PA",11/8/13,5/9/14,CERTIFIED
IBM INDIA PRIVATE LIMITED,15-1131,64147,"ST. LOUIS, MO",1/28/15,7/28/15,WITHDRAWN
IBM INDIA PRIVATE LIMITED,15-1131,68016,"CHARLOTTE, NC",2/16/15,8/16/15,WITHDRAWN
IBM INDIA PRIVATE LIMITED,15-1131,98115,"MOUNTAIN VIEW, CA",8/28/13,11/1/13,CERTIFIED
IBM INDIA PRIVATE LIMITED,ABAP CO-ORDINATOR,72488,"FLORHAM PARK, NJ",8/8/13,10/1/13,CERTIFIED
IBM INDIA PRIVATE LIMITED,ABAP CONSULTANT,67330,"MOUNDS VIEW, MN",12/14/15,6/14/16,CERTIFIED
IBM INDIA PRIVATE LIMITED,ABAP CONSULTANT,67330,"MOUNDS VIEW, MN",3/14/16,9/13/16,CERTIFIED
IBM INDIA PRIVATE LIMITED,ABAP CONSULTANT,67748,"MARYSVILLE, OH",3/12/15,9/11/15,CERTIFIED
IBM INDIA PRIVATE LIMITED,ABAP CONSULTANT,73923,"MOUNT OLIVE, NJ",10/20/15,11/29/15,WITHDRAWN
IBM INDIA PRIVATE LIMITED,ABAP CONSULTANT,73923,"MOUNT OLIVE, NJ",10/21/15,11/29/15,WITHDRAWN
