"","Date","Market","Arrival(q)","Price Minimum (Rs/q)","Price Maximum (Rs/q)","Modal Price (Rs/q)"
"1","10/Jun/2016","ABOHAR(PB)",350,"450","650","550"
"2","28/Jun/2016","ABOHAR(PB)",300,"540","670","600"
"3","29/Jun/2016","ABOHAR(PB)",30,"550","850","650"
"4","30/Jun/2016","ABOHAR(PB)",30,"550","850","650"
"5","12/Aug/2016","ABOHAR(PB)",60,"650","1065","850"
"6","12/Sep/2016","ABOHAR(PB)",400,"650","800","725"
"7","25/Oct/2016","ABOHAR(PB)",150,"750","900","850"
"8","26/Oct/2016","ABOHAR(PB)",200,"650","900","850"
"9","07/Nov/2016","ABOHAR(PB)",200,"650","800","700"
"10","23/Nov/2016","ABOHAR(PB)",40,"750","1100","850"
"11","24/Nov/2016","ABOHAR(PB)",250,"750","1150","950"
"12","25/Nov/2016","ABOHAR(PB)",100,"950","1185","1050"
"13","06/Dec/2016","ABOHAR(PB)",200,"750","1050","900"
"14","07/Dec/2016","ABOHAR(PB)",30,"650","1150","850"
"15","08/Dec/2016","ABOHAR(PB)",50,"650","1000","840"
"16","22/Dec/2016","ABOHAR(PB)",50,"700","1200","900"
"17","02/Jan/2016","AGRA(UP)",6600,"1200","1600","1520"
"18","04/Jan/2016","AGRA(UP)",6800,"1200","1600","1500"
"19","05/Jan/2016","AGRA(UP)",6500,"1300","1600","1510"
"20","06/Jan/2016","AGRA(UP)",6600,"1200","1580","1490"
"21","07/Jan/2016","AGRA(UP)",6200,"1000","1600","1500"
"22","08/Jan/2016","AGRA(UP)",6300,"1200","1580","1480"
"23","09/Jan/2016","AGRA(UP)",6600,"1000","1500","1250"
"24","11/Jan/2016","AGRA(UP)",6500,"900","1550","1420"
"25","12/Jan/2016","AGRA(UP)",6600,"1000","1500","1380"
"26","13/Jan/2016","AGRA(UP)",6600,"1000","1400","1350"
"27","14/Jan/2016","AGRA(UP)",6500,"1000","1400","1360"
"28","18/Jan/2016","AGRA(UP)",6800,"1000","1350","1290"
"29","19/Jan/2016","AGRA(UP)",6500,"1100","1400","1300"
"30","20/Jan/2016","AGRA(UP)",6500,"1000","1300","1280"
"31","21/Jan/2016","AGRA(UP)",5500,"1100","1300","1270"
"32","22/Jan/2016","AGRA(UP)",6800,"900","1400","1250"
"33","23/Jan/2016","AGRA(UP)",6200,"1050","1350","1260"
"34","25/Jan/2016","AGRA(UP)",2300,"1000","1310","1230"
"35","27/Jan/2016","AGRA(UP)",5800,"1000","1380","1270"
"36","28/Jan/2016","AGRA(UP)",6000,"700","1350","1240"
"37","29/Jan/2016","AGRA(UP)",4500,"1000","1350","1250"
"38","30/Jan/2016","AGRA(UP)",5500,"1000","1350","1280"
"39","02/Feb/2016","AGRA(UP)",4000,"1000","1360","1200"
"40","03/Feb/2016","AGRA(UP)",5600,"1000","1350","1280"
"41","04/Feb/2016","AGRA(UP)",5900,"1000","1300","1260"
"42","05/Feb/2016","AGRA(UP)",4500,"1000","1300","1210"
"43","06/Feb/2016","AGRA(UP)",5900,"1150","1325","1270"
"44","08/Feb/2016","AGRA(UP)",5600,"1050","1350","1250"
"45","09/Feb/2016","AGRA(UP)",5400,"1000","1300","1265"
"46","10/Feb/2016","AGRA(UP)",5600,"900","1300","1200"
"47","11/Feb/2016","AGRA(UP)",5800,"900","1200","1180"
"48","12/Feb/2016","AGRA(UP)",6000,"900","1200","1150"
"49","15/Feb/2016","AGRA(UP)",5600,"1050","1250","1170"
"50","16/Feb/2016","AGRA(UP)",5700,"1000","1225","1165"
"51","17/Feb/2016","AGRA(UP)",6000,"950","1175","1080"
"52","18/Feb/2016","AGRA(UP)",6100,"800","1200","1040"
"53","19/Feb/2016","AGRA(UP)",5500,"800","1200","1000"
"54","22/Feb/2016","AGRA(UP)",6400,"750","1180","950"
"55","23/Feb/2016","AGRA(UP)",6000,"700","1100","990"
"56","24/Feb/2016","AGRA(UP)",5800,"700","1100","1020"
"57","25/Feb/2016","AGRA(UP)",6000,"700","1100","1010"
"58","26/Feb/2016","AGRA(UP)",5600,"750","1125","1050"
"59","27/Feb/2016","AGRA(UP)",5900,"800","1100","1040"
"60","29/Feb/2016","AGRA(UP)",5608,"800","1100","1070"
"61","02/Mar/2016","AGRA(UP)",5800,"700","1100","1030"
"62","03/Mar/2016","AGRA(UP)",6000,"750","1100","1010"
"63","04/Mar/2016","AGRA(UP)",6300,"700","1050","980"
"64","05/Mar/2016","AGRA(UP)",6400,"700","1000","970"
"65","08/Mar/2016","AGRA(UP)",6500,"700","1050","980"
"66","09/Mar/2016","AGRA(UP)",6700,"500","1050","950"
"67","10/Mar/2016","AGRA(UP)",6400,"600","1000","960"
"68","11/Mar/2016","AGRA(UP)",6000,"700","1060","990"
"69","12/Mar/2016","AGRA(UP)",5800,"850","1100","1020"
"70","14/Mar/2016","AGRA(UP)",6000,"800","1110","1000"
"71","15/Mar/2016","AGRA(UP)",5800,"800","1125","1040"
"72","16/Mar/2016","AGRA(UP)",600,"800","1100","1025"
"73","17/Mar/2016","AGRA(UP)",6200,"750","1120","1010"
"74","18/Mar/2016","AGRA(UP)",6000,"800","1100","1030"
"75","19/Mar/2016","AGRA(UP)",5800,"800","1125","1050"
"76","21/Mar/2016","AGRA(UP)",6200,"800","1100","1020"
"77","22/Mar/2016","AGRA(UP)",6000,"800","1100","1040"
"78","28/Mar/2016","AGRA(UP)",5900,"1000","1100","1045"
"79","29/Mar/2016","AGRA(UP)",6100,"700","1100","1010"
"80","30/Mar/2016","AGRA(UP)",4400,"700","1100","1035"
"81","31/Mar/2016","AGRA(UP)",5600,"800","1100","1040"
"82","02/Apr/2016","AGRA(UP)",6000,"800","1100","1010"
"83","04/Apr/2016","AGRA(UP)",6200,"700","1110","995"
"84","06/Apr/2016","AGRA(UP)",5900,"650","1000","925"
"85","07/Apr/2016","AGRA(UP)",6000,"700","1000","970"
"86","11/Apr/2016","AGRA(UP)",5400,"600","1100","1020"
"87","12/Apr/2016","AGRA(UP)",5800,"800","1100","1050"
"88","13/Apr/2016","AGRA(UP)",6000,"750","1075","980"
"89","18/Apr/2016","AGRA(UP)",6300,"700","1000","980"
"90","20/Apr/2016","AGRA(UP)",6000,"1050","1050","1050"
"91","22/Apr/2016","AGRA(UP)",6600,"500","1000","900"
"92","23/Apr/2016","AGRA(UP)",5700,"500","950","870"
"93","25/Apr/2016","AGRA(UP)",6500,"600","950","895"
"94","26/Apr/2016","AGRA(UP)",6300,"600","960","910"
"95","27/Apr/2016","AGRA(UP)",6500,"700","950","900"
"96","28/Apr/2016","AGRA(UP)",6200,"750","1000","940"
"97","29/Apr/2016","AGRA(UP)",2300,"750","1000","925"
"98","30/Apr/2016","AGRA(UP)",6000,"700","1000","950"
"99","02/May/2016","AGRA(UP)",5600,"775","1050","980"
"100","03/May/2016","AGRA(UP)",5400,"750","1080","1010"
"101","04/May/2016","AGRA(UP)",5600,"775","950","850"
"102","05/May/2016","AGRA(UP)",5300,"750","980","840"
"103","06/May/2016","AGRA(UP)",5500,"750","1000","940"
"104","07/May/2016","AGRA(UP)",5800,"700","950","900"
"105","10/May/2016","AGRA(UP)",5200,"750","1050","950"
"106","11/May/2016","AGRA(UP)",5400,"650","980","915"
"107","12/May/2016","AGRA(UP)",5500,"700","980","900"
"108","13/May/2016","AGRA(UP)",5700,"760","980","870"
"109","16/May/2016","AGRA(UP)",5200,"875","1060","920"
"110","17/May/2016","AGRA(UP)",5600,"775","970","880"
"111","18/May/2016","AGRA(UP)",5100,"870","1060","905"
"112","19/May/2016","AGRA(UP)",5200,"850","1050","900"
"113","20/May/2016","AGRA(UP)",5000,"870","1075","920"
